ParticipantID,ParticipantSex,ParticipantAge,SexOrientation,SPEAKER_HEALTH,HEALTH_RATING,DISEASE_RATING,DISFREW_RATING,DISSEV_RATING,Overall_Health_Rating
37,1,36,1,1,5.1,5.9,5.8,3.9,5.175
37,1,36,1,2,4.5,5.2,4.3,4.3,4.575
2,0,30,1,1,4.3,5.3,4.7,4.6,4.725
2,0,30,1,2,5.5,6.4,5.6,5.9,5.85
17,1,33,1,1,5.2,2.8,4.7,5.1,4.45
17,1,33,1,2,5.1,3.3,4,5.3,4.425
25,0,28,1,1,5.7,6.3,6.4,6.4,6.2
25,0,28,1,2,5.4,4.7,5.5,5.2,5.2
35,0,51,1,1,5.5,5.4,5.4,6.6,5.725
35,0,51,1,2,4.5,4.9,4.3,4.5,4.55
117,0,26,3,1,5,4.6,5.6,4.9,5.025
117,0,26,3,2,3.7,4.5,3.8,4.5,4.125
19,0,31,1,1,5.6,5.9,5.4,5.3,5.55
19,0,31,1,2,5,4,5.1,5.8,4.975
16,0,33,1,1,4.8,5.4,4.9,5.7,5.2
16,0,33,1,2,4.5,5.1,5.3,4.3,4.8
89,1,26,1,1,6.7,6.9,6.8,5.9,6.575
89,1,26,1,2,6,6.5,6,5.8,6.075
93,0,27,1,1,5,5.1,4.8,5.7,5.15
93,0,27,1,2,4.9,3.3,4.3,4.7,4.3
123,1,28,1,1,5.8,5.9,6.2,5.2,5.775
123,1,28,1,2,4.4,4.5,5.4,6,5.075
112,1,32,1,1,4.4,6.1,5.5,4,5
112,1,32,1,2,5.3,5.5,5,4.8,5.15
46,1,41,1,1,6.3,6.4,5.9,5.8,6.1
46,1,41,1,2,5.4,6.4,5.9,4.3,5.5
116,0,29,1,1,5.7,4.1,3.7,5.2,4.675
116,0,29,1,2,5.6,3.8,4.7,5.7,4.95
111,1,31,1,1,5.9,4.8,5,4.7,5.1
111,1,31,1,2,5.6,4.7,6.1,6,5.6
81,1,32,3,1,7.2,5.6,5.5,5.5,5.95
81,1,32,3,2,7.5,5.7,5.8,5.4,6.1
82,1,38,3,1,6.2,5.5,6,4.7,5.6
82,1,38,3,2,5.3,4.8,4.4,3.8,4.575
109,0,26,1,1,4.2,4.7,5.3,5.4,4.9
109,0,26,1,2,4.7,4.7,4.2,5.4,4.75
32,0,27,1,1,5.2,4.5,5.1,4.6,4.85
32,0,27,1,2,5.2,3.4,4.8,5.1,4.625
48,0,27,1,1,6.2,5.5,5.8,5.7,5.8
48,0,27,1,2,5.6,5.6,6.2,6.6,6
6,1,20,1,1,5.7,6.9,6.3,5.8,6.175
6,1,20,1,2,4.5,4.9,4.8,4.2,4.6
62,1,60,1,1,5.6,4.8,6,4.9,5.325
62,1,60,1,2,5.1,4.6,6.4,4.7,5.2
124,0,32,2,1,7.1,5.7,5.3,5.2,5.825
124,0,32,2,2,6.4,5,5.7,4.5,5.4
120,0,30,2,1,6.5,6.1,5.2,5.3,5.775
120,0,30,2,2,5.5,5.7,4.3,4.3,4.95
79,0,27,1,1,7,5.3,5.5,5.5,5.825
79,0,27,1,2,7,4.7,4.9,4.7,5.325
51,0,35,1,1,5,4.6,5.2,5.6,5.1
51,0,35,1,2,5.6,4.9,5.5,4.7,5.175
61,1,24,1,1,5.5,4.4,4.3,5.1,4.825
61,1,24,1,2,5.6,3.9,4,6.1,4.9
122,0,26,1,1,5,4.8,4.2,6.3,5.075
122,0,26,1,2,5,4.4,3.7,5.7,4.7
119,0,35,1,1,6.2,6.8,5.9,4.8,5.925
119,0,35,1,2,5.5,5.8,5.7,5.6,5.65
